フェーズ,タスクID,タスク,内容,工数(人日),依存,優先度,備考
R0 足場・テスト基盤,R0.1,PHP8.3コンテナ追加,旧CI3.1と並行する PHP8.3 ターゲットコンテナを docker-compose に追加,1.0,,高,旧環境は停止しない
R0 足場・テスト基盤,R0.2,HTTPゴールデン取得,主要閲覧URL(Pages/Racer/Race/Meet/Point_series/Ranking)のレスポンスをゴールデン化,2.0,,高,移行前の振る舞い固定(安全弁)
R0 足場・テスト基盤,R0.3,現状インベントリ,画面一覧と集計クエリの棚卸し,1.0,,中,
R1 Laravel足場,R1.1,Laravel12初期化,プロジェクト初期化・ディレクトリ/規約整備,1.0,R0.1,高,res-sysが移行パターンのパイロット
R1 Laravel足場,R1.2,read-only DB接続,既存スキーマへのモデルmap・読み取り専用接続,1.0,R1.1,高,スキーマ非保有(web側所有)
R1 Laravel足場,R1.3,ベースレイアウト/ビルド,Bladeレイアウト土台・scss(main.scss)ビルド導線,1.5,R1.1,中,デザイン維持
R2 機能スライス移行,R2.1,テンプレート+Pages,header/footer と Pages の移植,1.5,R1.3,高,
R2 機能スライス移行,R2.2,Racer(選手成績),Racer_model+ビュー移植,2.5,R2.1,高,
R2 機能スライス移行,R2.3,Race(レース結果),Race(400行)モデル+ビュー移植,3.5,R2.1,最高,最重要・表示の中心
R2 機能スライス移行,R2.4,Meet(大会),Meet_model+ビュー移植,1.5,R2.1,中,
R2 機能スライス移行,R2.5,Point_series,Point_series 移植,2.0,R2.1,中,
R2 機能スライス移行,R2.6,Ajocc_ranking(集計),Pointseries_model(393行)/Ajoccranking 集計の移植,3.0,R2.1,高,集計結果の突合必須
R3 結合・表示・性能,R3.1,ゴールデン突合・画面回帰,R0.2との突合とスクリーンショット比較,2.0,R2.6,高,
R3 結合・表示・性能,R3.2,性能・read-only整合確認,応答性能とread-only整合の確認,1.0,R3.1,中,
R4 独立デプロイ,R4.1,8081独立デプロイ,別サーバーへの独立デプロイ構成・Blue/Green・ロールバック,2.0,R3.2,高,別サーバー起動を維持
R5 共有PKG収束(S3b),R5.1,Composer VCS参照追加,共有パッケージをGitHub VCSリポジトリ参照で取り込み,0.5,W4.2,高,web側パッケージ提供後に着手
R5 共有PKG収束(S3b),R5.2,共有パッケージ参照へ置換,自前モデル/集計を共有パッケージの読みモデルへ置換,2.0,R5.1,高,二重実装の解消
R5 共有PKG収束(S3b),R5.3,収束後の回帰テスト,置換後のゴールデン回帰,1.0,R5.2,高,
,,,合計,30.5,,,半稼働(週2.5日)で約12.2週相当(R5除く約11週+web依存)
