区分,cyclox2web(人月),cyclox2res-sys(人月),合計(人月)
昨年計画(名目),19.4,5.3,24.7
今年計画(基準工数),4.60,1.525,6.125
今年計画(最大見積もり+40%),6.44,2.135,8.575

要因区分,要因,説明,根拠資料
増要因,アップグレード計画の変更(フレームワーク方針転換),昨年計画はCodeIgniter4への統一移行だったが、今年計画はLaravel12+共有ドメインパッケージ化(S3b)を採用。共有DBモデル/集計ロジックの二重実装を解消するための共有パッケージ抽出フェーズ(W4.1-4.3/R5.1-5.3)が新規タスクとして追加された,README.md §3/§4.1, gantt.md
増要因,開発環境整備(テスト基盤の新設),自動テストが両アプリとも0件という実態が確認され、移行前のcharacterizationテスト基盤(HTTPゴールデン・計算系スナップショット)整備が全シナリオの前提タスクとして新設された(W0.2/W0.3/R0.2)。昨年計画にはこの独立フェーズがなかった,README.md §1/§6, tasks-*.csv
減要因,AI利用の予算化による人間工数の圧縮,昨年計画はAI効率化を人間主体見積もりへの割引率(25-40%)として後付けしていたが、今年計画はClaude Code(Opus)による開発を体制の前提とし、人間(PL/SE)はレビュー・承認・テスト・切替判断のみを担当する。工数の実体が人間の実働日数そのものに変わり、名目工数は昨年計画を大幅に下回る,README.md §5, update_plan.md(両リポジトリ)§8
その他,現状認識の訂正(実行PHPバージョン),昨年計画は実行PHPを5.x系と誤認していたが、実態はPHP7.3であることが判明。フレームワークのサポート要件・移行経路の見直しに影響した,README.md §1
その他,DB共有制約の判明,両アプリが同一DB cyclox2 を共有し、res-sysが読み取り専用で参照している実態が判明。DBスキーマ不変を絶対制約とする安全弁設計・垂直スライス移行・Blue/Greenロールバック体制などの追加タスクが必要になった,README.md §6
